#alpha3	indicator	year	index	rank
CRI	glob	2014	0.7165	48.0
CRI	glob	2015	0.732	38.0
CRI	glob	2016	0.736	32.0
CRI	glob	2017	0.727	41.0
CRI	glob	2018	0.749	22.0
CRI	glob	2019	0.782	13.0
CRI	glob	2020	0.786	15.0
CRI	eco	2006	0.5223	89.0
CRI	eco	2007	0.5536	95.0
CRI	eco	2008	0.586	86.0
CRI	eco	2009	0.6136	84.0
CRI	eco	2010	0.5787	98.0
CRI	eco	2011	0.5935	97.0
CRI	eco	2012	0.5987	99.0
CRI	eco	2013	0.5955	98.0
CRI	eco	2014	0.6155	105.0
CRI	eco	2015	0.587	118.0
CRI	eco	2016	0.606	105.0
CRI	eco	2017	0.62	104.0
CRI	eco	2018	0.614	105.0
CRI	eco	2019	0.607	112.0
CRI	eco	2020	0.624	110.0
CRI	edu	2006	0.9954	32.0
CRI	edu	2007	0.9954	36.0
CRI	edu	2008	0.9954	51.0
CRI	edu	2009	0.9954	48.0
CRI	edu	2010	0.9954	46.0
CRI	edu	2011	1.0	1.0
CRI	edu	2012	1.0	1.0
CRI	edu	2013	1.0	1.0
CRI	edu	2014	1.0	1.0
CRI	edu	2015	1.0	1.0
CRI	edu	2016	1.0	30.0
CRI	edu	2017	0.999	40.0
CRI	edu	2018	1.0	1.0
CRI	edu	2019	1.0	33.0
CRI	edu	2020	1.0	35.0
CRI	health	2006	0.9796	1.0
CRI	health	2007	0.9796	1.0
CRI	health	2008	0.9796	1.0
CRI	health	2009	0.9796	1.0
CRI	health	2010	0.9747	66.0
CRI	health	2011	0.9747	66.0
CRI	health	2012	0.9747	65.0
CRI	health	2013	0.9747	62.0
CRI	health	2014	0.9747	62.0
CRI	health	2015	0.975	64.0
CRI	health	2016	0.975	62.0
CRI	health	2017	0.974	79.0
CRI	health	2018	0.977	63.0
CRI	health	2019	0.977	60.0
CRI	health	2020	0.977	66.0
CRI	pol	2006	0.2771	15.0
CRI	pol	2007	0.2771	16.0
CRI	pol	2008	0.2833	20.0
CRI	pol	2009	0.2833	20.0
CRI	pol	2010	0.3287	14.0
CRI	pol	2011	0.3382	14.0
CRI	pol	2012	0.3164	21.0
CRI	pol	2013	0.3263	21.0
CRI	pol	2014	0.2758	32.0
CRI	pol	2015	0.365	20.0
CRI	pol	2016	0.365	20.0
CRI	pol	2017	0.314	27.0
CRI	pol	2018	0.406	16.0
CRI	pol	2019	0.545	6.0
CRI	pol	2020	0.545	8.0
CUB	glob	2006	nan	nan
CUB	glob	2007	0.7169	22.0
CUB	glob	2008	0.7195	25.0
CUB	glob	2009	0.7176	29.0
CUB	glob	2010	0.7253	24.0
CUB	glob	2011	0.7394	20.0
CUB	glob	2012	0.7417	19.0
CUB	glob	2013	0.754	15.0
CUB	glob	2014	0.7317	30.0
CUB	glob	2015	0.74	29.0
CUB	glob	2016	0.74	27.0
CUB	glob	2017	0.745	25.0
CUB	glob	2018	0.749	23.0
CUB	glob	2019	0.746	31.0
CUB	glob	2020	0.746	39.0
CUB	eco	2006	nan	nan
CUB	eco	2007	0.6807	39.0
CUB	eco	2008	0.611	77.0
CUB	eco	2009	0.6034	88.0
CUB	eco	2010	0.6092	84.0
CUB	eco	2011	0.6656	57.0
CUB	eco	2012	0.6655	64.0
CUB	eco	2013	0.6736	65.0
CUB	eco	2014	0.5798	113.0
CUB	eco	2015	0.579	119.0
CUB	eco	2016	0.578	114.0
CUB	eco	2017	0.629	99.0
CUB	eco	2018	0.627	97.0
CUB	eco	2019	0.617	107.0
CUB	eco	2020	0.63	108.0
CUB	edu	2006	nan	nan
CUB	edu	2007	0.9903	55.0
CUB	edu	2008	1.0	25.0
CUB	edu	2009	1.0	1.0
CUB	edu	2010	1.0	1.0
CUB	edu	2011	1.0	23.0
CUB	edu	2012	0.9995	24.0
CUB	edu	2013	0.9995	30.0
CUB	edu	2014	1.0	26.0
CUB	edu	2015	1.0	26.0
CUB	edu	2016	1.0	1.0
CUB	edu	2017	1.0	1.0
CUB	edu	2018	0.999	40.0
CUB	edu	2019	0.998	44.0
CUB	edu	2020	0.998	45.0
CUB	health	2006	nan	nan
CUB	health	2007	0.9745	69.0
CUB	health	2008	0.9745	71.0
CUB	health	2009	0.9745	74.0
CUB	health	2010	0.9743	69.0
CUB	health	2011	0.9743	69.0
CUB	health	2012	0.9743	66.0
CUB	health	2013	0.9743	63.0
CUB	health	2014	0.9791	37.0
CUB	health	2015	0.975	63.0
CUB	health	2016	0.975	61.0
CUB	health	2017	0.97	103.0
CUB	health	2018	0.975	77.0
CUB	health	2019	0.975	77.0
CUB	health	2020	0.964	68.0
CUB	pol	2006	nan	nan
CUB	pol	2007	0.222	23.0
CUB	pol	2008	0.2926	19.0
CUB	pol	2009	0.2926	18.0
CUB	pol	2010	0.3176	18.0
CUB	pol	2011	0.318	18.0
CUB	pol	2012	0.3276	19.0
CUB	pol	2013	0.3685	13.0
CUB	pol	2014	0.368	18.0
CUB	pol	2015	0.407	12.0
CUB	pol	2016	0.407	12.0
CUB	pol	2017	0.382	19.0
CUB	pol	2018	0.396	18.0
CUB	pol	2019	0.392	21.0
CUB	pol	2020	0.382	27.0
CYP	glob	2006	0.643	83.0
CYP	glob	2007	0.6522	82.0
CYP	glob	2008	0.6694	76.0
CYP	glob	2009	0.6706	79.0
CYP	glob	2010	0.6642	86.0
CYP	glob	2011	0.6567	93.0
CYP	glob	2012	0.6732	79.0
CYP	glob	2013	0.6801	79.0
CYP	glob	2014	0.6741	95.0
CYP	glob	2015	0.671	100.0
CYP	glob	2016	0.684	84.0
CYP	glob	2017	0.684	92.0
CYP	glob	2018	0.684	92.0
CYP	glob	2019	0.692	91.0
CYP	glob	2020	0.707	83.0
CYP	eco	2006	0.5618	75.0
CYP	eco	2007	0.6021	81.0
CYP	eco	2008	0.61	78.0
CYP	eco	2009	0.6168	83.0
CYP	eco	2010	0.63	75.0
CYP	eco	2011	0.6175	80.0
CYP	eco	2012	0.6149	87.0
CYP	eco	2013	0.6353	85.0
CYP	eco	2014	0.656	75.0
CYP	eco	2015	0.643	88.0
CYP	eco	2016	0.665	75.0
CYP	eco	2017	0.679	66.0
CYP	eco	2018	0.679	70.0
CYP	eco	2019	0.681	73.0
CYP	eco	2020	0.694	72.0
CYP	edu	2006	0.9893	54.0
CYP	edu	2007	0.9893	60.0
CYP	edu	2008	0.9954	50.0
CYP	edu	2009	0.9933	61.0
CYP	edu	2010	0.9879	77.0
CYP	edu	2011	0.9776	89.0
CYP	edu	2012	0.978	90.0
CYP	edu	2013	0.9853	83.0
CYP	edu	2014	0.9978	41.0
CYP	edu	2015	0.998	41.0
CYP	edu	2016	0.998	41.0
CYP	edu	2017	0.998	46.0
CYP	edu	2018	0.998	48.0
CYP	edu	2019	0.998	48.0
CYP	edu	2020	0.998	49.0
CYP	health	2006	0.9693	84.0
CYP	health	2007	0.9657	108.0
CYP	health	2008	0.9657	110.0
CYP	health	2009	0.9657	114.0
CYP	health	2010	0.9701	88.0
CYP	health	2011	0.9701	90.0
CYP	health	2012	0.9701	92.0
CYP	health	2013	0.9701	91.0
CYP	health	2014	0.9738	69.0
CYP	health	2015	0.974	73.0
CYP	health	2016	0.974	71.0
CYP	health	2017	0.966	126.0
CYP	health	2018	0.967	125.0
CYP	health	2019	0.967	127.0
CYP	health	2020	0.966	140.0
CYP	pol	2006	0.0517	95.0
CYP	pol	2007	0.0517	107.0
CYP	pol	2008	0.1066	76.0
CYP	pol	2009	0.1066	80.0
CYP	pol	2010	0.069	102.0
CYP	pol	2011	0.0618	109.0
CYP	pol	2012	0.1298	74.0
CYP	pol	2013	0.1298	76.0
CYP	pol	2014	0.069	122.0
CYP	pol	2015	0.069	124.0
CYP	pol	2016	0.1	105.0
CYP	pol	2017	0.092	115.0
CYP	pol	2018	0.092	120.0
CYP	pol	2019	0.122	111.0
CYP	pol	2020	0.177	86.0
CZE	glob	2006	0.6712	53.0
CZE	glob	2007	0.6718	64.0
CZE	glob	2008	0.677	69.0
CZE	glob	2009	0.6789	74.0
CZE	glob	2010	0.685	65.0
CZE	glob	2011	0.6789	75.0
CZE	glob	2012	0.6767	73.0
CZE	glob	2013	0.677	83.0
CZE	glob	2014	0.6737	96.0
CZE	glob	2015	0.687	81.0
CZE	glob	2016	0.69	77.0
CZE	glob	2017	0.688	88.0
CZE	glob	2018	0.693	82.0
CZE	glob	2019	0.706	78.0
CZE	glob	2020	0.711	78.0
CZE	eco	2006	0.627	52.0
CZE	eco	2007	0.6295	71.0
CZE	eco	2008	0.6366	68.0
CZE	eco	2009	0.6443	70.0
CZE	eco	2010	0.6205	80.0
CZE	eco	2011	0.5961	94.0
CZE	eco	2012	0.6026	95.0
CZE	eco	2013	0.6039	95.0
CZE	eco	2014	0.6216	100.0
CZE	eco	2015	0.636	94.0
CZE	eco	2016	0.647	89.0
CZE	eco	2017	0.643	92.0
CZE	eco	2018	0.651	87.0
CZE	eco	2019	0.657	87.0
CZE	eco	2020	0.662	91.0
CZE	edu	2006	0.9908	46.0
CZE	edu	2007	0.9908	53.0
CZE	edu	2008	1.0	1.0
CZE	edu	2009	1.0	1.0
CZE	edu	2010	1.0	1.0
CZE	edu	2011	1.0	1.0
CZE	edu	2012	1.0	1.0
CZE	edu	2013	1.0	1.0
CZE	edu	2014	1.0	1.0
CZE	edu	2015	1.0	1.0
CZE	edu	2016	1.0	1.0
CZE	edu	2017	1.0	1.0
CZE	edu	2018	1.0	1.0
CZE	edu	2019	1.0	1.0
CZE	edu	2020	1.0	1.0
CZE	health	2006	0.9791	36.0
CZE	health	2007	0.9791	37.0
CZE	health	2008	0.9791	38.0
CZE	health	2009	0.9791	41.0
CZE	health	2010	0.9792	38.0
CZE	health	2011	0.9792	39.0
CZE	health	2012	0.9788	49.0
CZE	health	2013	0.9788	46.0
CZE	health	2014	0.9791	37.0
CZE	health	2015	0.979	42.0
CZE	health	2016	0.979	40.0
CZE	health	2017	0.98	1.0
CZE	health	2018	0.98	1.0
CZE	health	2019	0.98	1.0
CZE	health	2020	0.967	44.0
CZE	pol	2006	0.0877	70.0
CZE	pol	2007	0.0877	78.0
CZE	pol	2008	0.0921	88.0
CZE	pol	2009	0.0921	91.0
CZE	pol	2010	0.1403	59.0
CZE	pol	2011	0.1403	60.0
CZE	pol	2012	0.1254	76.0
CZE	pol	2013	0.1254	79.0
CZE	pol	2014	0.094	109.0
CZE	pol	2015	0.134	83.0
CZE	pol	2016	0.134	85.0
CZE	pol	2017	0.13	91.0
CZE	pol	2018	0.14	87.0
CZE	pol	2019	0.189	77.0
CZE	pol	2020	0.203	73.0
DEU	glob	2006	0.7524	5.0
DEU	glob	2007	0.7618	7.0
DEU	glob	2008	0.7394	11.0
DEU	glob	2009	0.7449	12.0
DEU	glob	2010	0.753	13.0
DEU	glob	2011	0.759	11.0
DEU	glob	2012	0.7629	13.0
DEU	glob	2013	0.7583	14.0
DEU	glob	2014	0.778	12.0
DEU	glob	2015	0.779	11.0
DEU	glob	2016	0.766	13.0
DEU	glob	2017	0.778	12.0
DEU	glob	2018	0.776	14.0
DEU	glob	2019	0.787	10.0
DEU	glob	2020	0.796	11.0
DEU	eco	2006	0.6694	32.0
DEU	eco	2007	0.6997	29.0
DEU	eco	2008	0.6877	45.0
DEU	eco	2009	0.6956	37.0
DEU	eco	2010	0.7138	37.0
DEU	eco	2011	0.727	32.0
DEU	eco	2012	0.7399	31.0
DEU	eco	2013	0.712	46.0
DEU	eco	2014	0.7388	34.0
DEU	eco	2015	0.737	38.0
DEU	eco	2016	0.691	57.0
DEU	eco	2017	0.72	43.0
DEU	eco	2018	0.734	36.0
DEU	eco	2019	0.723	48.0
DEU	eco	2020	0.706	62.0
DEU	edu	2006	0.9954	31.0
DEU	edu	2007	0.9954	35.0
DEU	edu	2008	0.9954	49.0
DEU	edu	2009	0.9953	49.0
DEU	edu	2010	0.9945	51.0
DEU	edu	2011	0.9942	50.0
DEU	edu	2012	0.9848	83.0
DEU	edu	2013	0.9818	86.0
DEU	edu	2014	0.9995	34.0
DEU	edu	2015	0.987	88.0
DEU	edu	2016	0.966	100.0
DEU	edu	2017	0.97	98.0
DEU	edu	2018	0.976	97.0
DEU	edu	2019	0.972	103.0
DEU	edu	2020	0.997	55.0
DEU	health	2006	0.9791	36.0
DEU	health	2007	0.9783	56.0
DEU	health	2008	0.9783	57.0
DEU	health	2009	0.9783	60.0
DEU	health	2010	0.9784	47.0
DEU	health	2011	0.9784	49.0
DEU	health	2012	0.978	52.0
DEU	health	2013	0.978	49.0
DEU	health	2014	0.9739	67.0
DEU	health	2015	0.979	56.0
DEU	health	2016	0.979	54.0
DEU	health	2017	0.975	70.0
DEU	health	2018	0.973	85.0
DEU	health	2019	0.973	86.0
DEU	health	2020	0.962	75.0
DEU	pol	2006	0.3657	6.0
DEU	pol	2007	0.3738	6.0
DEU	pol	2008	0.2962	16.0
DEU	pol	2009	0.3105	13.0
DEU	pol	2010	0.3251	15.0
DEU	pol	2011	0.3364	15.0
DEU	pol	2012	0.3488	15.0
DEU	pol	2013	0.3611	15.0
DEU	pol	2014	0.3998	11.0
DEU	pol	2015	0.413	11.0
DEU	pol	2016	0.428	10.0
DEU	pol	2017	0.447	10.0
DEU	pol	2018	0.418	12.0
DEU	pol	2019	0.477	12.0
DEU	pol	2020	0.509	10.0
DNK	glob	2006	0.7462	8.0
DNK	glob	2007	0.7519	8.0
DNK	glob	2008	0.7538	7.0
DNK	glob	2009	0.7628	7.0
DNK	glob	2010	0.7719	7.0
DNK	glob	2011	0.7778	7.0
DNK	glob	2012	0.7777	7.0
DNK	glob	2013	0.7779	8.0
DNK	glob	2014	0.8025	5.0
DNK	glob	2015	0.767	14.0
DNK	glob	2016	0.754	19.0
DNK	glob	2017	0.776	14.0
DNK	glob	2018	0.778	13.0
DNK	glob	2019	0.782	14.0
DNK	glob	2020	0.768	29.0
DNK	eco	2006	0.7081	19.0
DNK	eco	2007	0.7336	18.0
DNK	eco	2008	0.7116	28.0
DNK	eco	2009	0.7477	20.0
DNK	eco	2010	0.7438	23.0
DNK	eco	2011	0.7672	13.0
DNK	eco	2012	0.7724	16.0
DNK	eco	2013	0.7639	25.0
DNK	eco	2014	0.8053	12.0
DNK	eco	2015	0.788	20.0
DNK	eco	2016	0.735	34.0
DNK	eco	2017	0.728	36.0
DNK	eco	2018	0.734	38.0
DNK	eco	2019	0.735	41.0
DNK	eco	2020	0.736	42.0
DNK	edu	2006	1.0	1.0
DNK	edu	2007	1.0	1.0
DNK	edu	2008	1.0	1.0
DNK	edu	2009	1.0	1.0
DNK	edu	2010	1.0	1.0
DNK	edu	2011	1.0	1.0
DNK	edu	2012	1.0	1.0
DNK	edu	2013	1.0	1.0
DNK	edu	2014	1.0	1.0
DNK	edu	2015	1.0	1.0
DNK	edu	2016	1.0	1.0
DNK	edu	2017	1.0	1.0
DNK	edu	2018	1.0	1.0
DNK	edu	2019	1.0	1.0
DNK	edu	2020	1.0	1.0
DNK	health	2006	0.9723	76.0
DNK	health	2007	0.9696	96.0
DNK	health	2008	0.9696	97.0
DNK	health	2009	0.9696	102.0
DNK	health	2010	0.9743	68.0
DNK	health	2011	0.9743	68.0
DNK	health	2012	0.9739	67.0
DNK	health	2013	0.9739	64.0
DNK	health	2014	0.9741	65.0
DNK	health	2015	0.97	107.0
DNK	health	2016	0.97	106.0
DNK	health	2017	0.971	95.0
DNK	health	2018	0.971	100.0
DNK	health	2019	0.971	101.0
DNK	health	2020	0.98	119.0
DNK	pol	2006	0.3045	13.0
DNK	pol	2007	0.3045	13.0
DNK	pol	2008	0.334	10.0
DNK	pol	2009	0.334	11.0
DNK	pol	2010	0.3695	10.0
DNK	pol	2011	0.3696	10.0
DNK	pol	2012	0.3645	11.0
DNK	pol	2013	0.3738	11.0
DNK	pol	2014	0.4306	7.0
DNK	pol	2015	0.309	29.0
DNK	pol	2016	0.309	29.0
DNK	pol	2017	0.406	16.0
DNK	pol	2018	0.406	15.0
DNK	pol	2019	0.421	17.0
DNK	pol	2020	0.371	32.0
DOM	glob	2006	0.6639	59.0
DOM	glob	2007	0.6705	65.0
DOM	glob	2008	0.6744	72.0
DOM	glob	2009	0.6859	67.0
DOM	glob	2010	0.6774	73.0
DOM	glob	2011	0.6682	81.0
DOM	glob	2012	0.6659	89.0
DOM	glob	2013	0.6867	72.0
DOM	glob	2014	0.6906	78.0
DOM	glob	2015	0.686	86.0
DOM	glob	2016	0.676	97.0
DOM	glob	2017	0.697	70.0
DOM	glob	2018	0.701	74.0
DOM	glob	2019	0.7	86.0
DOM	glob	2020	0.699	89.0
DOM	eco	2006	0.559	78.0
DOM	eco	2007	0.5851	88.0
DOM	eco	2008	0.6008	82.0
DOM	eco	2009	0.647	67.0
DOM	eco	2010	0.6516	64.0
DOM	eco	2011	0.5969	92.0
DOM	eco	2012	0.6052	93.0
DOM	eco	2013	0.6751	63.0
DOM	eco	2014	0.6794	63.0
DOM	eco	2015	0.648	86.0
DOM	eco	2016	0.658	78.0
DOM	eco	2017	0.638	95.0
DOM	eco	2018	0.65	89.0
DOM	eco	2019	0.66	85.0
DOM	eco	2020	0.646	101.0
DOM	edu	2006	1.0	1.0
DOM	edu	2007	1.0	1.0
DOM	edu	2008	1.0	1.0
DOM	edu	2009	1.0	1.0
DOM	edu	2010	1.0	1.0
DOM	edu	2011	1.0	1.0
DOM	edu	2012	0.9688	94.0
DOM	edu	2013	0.9822	84.0
DOM	edu	2014	0.9842	91.0
DOM	edu	2015	0.984	91.0
DOM	edu	2016	0.989	77.0
DOM	edu	2017	0.991	72.0
DOM	edu	2018	0.997	54.0
DOM	edu	2019	0.998	42.0
DOM	edu	2020	1.0	32.0
DOM	health	2006	0.9796	1.0
DOM	health	2007	0.9796	1.0
DOM	health	2008	0.9796	1.0
DOM	health	2009	0.9796	1.0
DOM	health	2010	0.9711	86.0
DOM	health	2011	0.9711	88.0
DOM	health	2012	0.9711	89.0
DOM	health	2013	0.9711	89.0
DOM	health	2014	0.9706	91.0
DOM	health	2015	0.971	98.0
DOM	health	2016	0.971	97.0
DOM	health	2017	0.98	1.0
DOM	health	2018	0.98	1.0
DOM	health	2019	0.98	1.0
DOM	health	2020	0.98	1.0
DOM	pol	2006	0.1172	49.0
DOM	pol	2007	0.1172	55.0
DOM	pol	2008	0.1172	69.0
DOM	pol	2009	0.1172	73.0
DOM	pol	2010	0.087	92.0
DOM	pol	2011	0.1049	80.0
DOM	pol	2012	0.1184	84.0
DOM	pol	2013	0.1184	84.0
DOM	pol	2014	0.1283	84.0
DOM	pol	2015	0.14	81.0
DOM	pol	2016	0.085	118.0
DOM	pol	2017	0.179	69.0
DOM	pol	2018	0.179	69.0
DOM	pol	2019	0.163	88.0
DOM	pol	2020	0.172	88.0
DZA	glob	2006	0.6018	97.0
DZA	glob	2007	0.6068	108.0
DZA	glob	2008	0.6111	111.0
DZA	glob	2009	0.6119	117.0
DZA	glob	2010	0.6052	119.0
DZA	glob	2011	0.5991	121.0
DZA	glob	2012	0.6112	120.0
DZA	glob	2013	0.5966	124.0
DZA	glob	2014	0.6182	126.0
DZA	glob	2015	0.632	128.0
DZA	glob	2016	0.642	120.0
DZA	glob	2017	0.629	127.0
DZA	glob	2018	0.629	128.0
DZA	glob	2019	0.634	132.0
DZA	glob	2020	0.633	136.0
DZA	eco	2006	0.4428	103.0
DZA	eco	2007	0.4643	113.0
DZA	eco	2008	0.468	115.0
DZA	eco	2009	0.4697	119.0
DZA	eco	2010	0.4666	119.0
DZA	eco	2011	0.4452	124.0
DZA	eco	2012	0.3776	131.0
DZA	eco	2013	0.3307	133.0
DZA	eco	2014	0.393	136.0
DZA	eco	2015	0.41	137.0
DZA	eco	2016	0.435	134.0
DZA	eco	2017	0.442	132.0
DZA	eco	2018	0.452	132.0
DZA	eco	2019	0.461	138.0
DZA	eco	2020	0.456	142.0
DZA	edu	2006	0.9438	83.0
DZA	edu	2007	0.9422	96.0
DZA	edu	2008	0.9491	96.0
DZA	edu	2009	0.9505	99.0
DZA	edu	2010	0.953	99.0
DZA	edu	2011	0.9502	96.0
DZA	edu	2012	0.9499	103.0
DZA	edu	2013	0.9387	106.0
DZA	edu	2014	0.9363	113.0
DZA	edu	2015	0.946	110.0
DZA	edu	2016	0.962	104.0
DZA	edu	2017	0.957	107.0
DZA	edu	2018	0.957	112.0
DZA	edu	2019	0.966	109.0
DZA	edu	2020	0.966	111.0
DZA	health	2006	0.9712	78.0
DZA	health	2007	0.9714	85.0
DZA	health	2008	0.9714	86.0
DZA	health	2009	0.9714	91.0
DZA	health	2010	0.9661	106.0
DZA	health	2011	0.9661	107.0
DZA	health	2012	0.9661	108.0
DZA	health	2013	0.9661	108.0
DZA	health	2014	0.9661	124.0
DZA	health	2015	0.966	128.0
DZA	health	2016	0.966	127.0
DZA	health	2017	0.97	106.0
DZA	health	2018	0.962	137.0
DZA	health	2019	0.962	140.0
DZA	health	2020	0.948	144.0
DZA	pol	2006	0.0495	98.0
DZA	pol	2007	0.0495	111.0
DZA	pol	2008	0.0558	115.0
DZA	pol	2009	0.0558	120.0
DZA	pol	2010	0.035	123.0
DZA	pol	2011	0.035	124.0
DZA	pol	2012	0.1511	57.0
DZA	pol	2013	0.1511	62.0
DZA	pol	2014	0.1772	60.0
DZA	pol	2015	0.205	55.0
DZA	pol	2016	0.205	56.0
DZA	pol	2017	0.145	86.0
DZA	pol	2018	0.145	85.0
DZA	pol	2019	0.145	99.0
DZA	pol	2020	0.151	100.0
ECU	glob	2006	0.6433	82.0
ECU	glob	2007	0.6881	44.0
ECU	glob	2008	0.7091	35.0
ECU	glob	2009	0.722	23.0
ECU	glob	2010	0.7072	40.0
ECU	glob	2011	0.7035	45.0
ECU	glob	2012	0.7206	33.0
ECU	glob	2013	0.7389	25.0
ECU	glob	2014	0.7455	21.0
ECU	glob	2015	0.738	33.0
ECU	glob	2016	0.726	40.0
ECU	glob	2017	0.724	42.0
ECU	glob	2018	0.729	41.0
ECU	glob	2019	0.729	48.0
ECU	glob	2020	0.739	42.0
ECU	eco	2006	0.4994	92.0
ECU	eco	2007	0.6344	65.0
ECU	eco	2008	0.6234	74.0
ECU	eco	2009	0.6302	77.0
ECU	eco	2010	0.5985	90.0
ECU	eco	2011	0.5838	99.0
ECU	eco	2012	0.5997	97.0
ECU	eco	2013	0.6253	90.0
ECU	eco	2014	0.7154	45.0
ECU	eco	2015	0.677	66.0
ECU	eco	2016	0.631	93.0
ECU	eco	2017	0.642	93.0
ECU	eco	2018	0.657	82.0
ECU	eco	2019	0.68	74.0
ECU	eco	2020	0.675	81.0
ECU	edu	2006	0.9939	38.0
ECU	edu	2007	0.9939	42.0
ECU	edu	2008	0.9953	52.0
ECU	edu	2009	0.9955	45.0
ECU	edu	2010	0.9879	78.0
ECU	edu	2011	0.9877	77.0
ECU	edu	2012	0.9942	54.0
ECU	edu	2013	0.9942	52.0
ECU	edu	2014	0.9956	52.0
ECU	edu	2015	0.996	53.0
ECU	edu	2016	0.996	48.0
ECU	edu	2017	0.996	54.0
ECU	edu	2018	0.996	59.0
ECU	edu	2019	0.997	56.0
ECU	edu	2020	0.997	58.0
ECU	health	2006	0.9796	1.0
ECU	health	2007	0.9796	1.0
ECU	health	2008	0.9796	1.0
ECU	health	2009	0.9796	1.0
ECU	health	2010	0.9758	57.0
ECU	health	2011	0.9758	58.0
ECU	health	2012	0.9758	58.0
ECU	health	2013	0.9758	55.0
ECU	health	2014	0.9796	1.0
ECU	health	2015	0.98	1.0
ECU	health	2016	0.98	1.0
ECU	health	2017	0.977	57.0
ECU	health	2018	0.978	58.0
ECU	health	2019	0.978	54.0
ECU	health	2020	0.964	92.0
ECU	pol	2006	0.1003	64.0
ECU	pol	2007	0.1446	44.0
ECU	pol	2008	0.2381	28.0
ECU	pol	2009	0.2826	21.0
ECU	pol	2010	0.2665	28.0
ECU	pol	2011	0.2668	29.0
ECU	pol	2012	0.3126	23.0
ECU	pol	2013	0.3604	17.0
ECU	pol	2014	0.2914	28.0
ECU	pol	2015	0.297	31.0
ECU	pol	2016	0.297	32.0
ECU	pol	2017	0.283	32.0
ECU	pol	2018	0.283	35.0
ECU	pol	2019	0.26	48.0
ECU	pol	2020	0.318	40.0
EGY	glob	2006	0.5785	109.0
EGY	glob	2007	0.5809	120.0
EGY	glob	2008	0.5832	124.0
EGY	glob	2009	0.5862	126.0
EGY	glob	2010	0.5899	125.0
EGY	glob	2011	0.5933	123.0
EGY	glob	2012	0.5975	126.0
EGY	glob	2013	0.5935	125.0
EGY	glob	2014	0.6064	129.0
EGY	glob	2015	0.599	136.0
EGY	glob	2016	0.614	132.0
EGY	glob	2017	0.608	134.0
EGY	glob	2018	0.614	135.0
EGY	glob	2019	0.629	134.0
EGY	glob	2020	0.639	129.0
EGY	eco	2006	0.4157	108.0
EGY	eco	2007	0.421	120.0
EGY	eco	2008	0.4367	120.0
EGY	eco	2009	0.4498	124.0
EGY	eco	2010	0.453	121.0
EGY	eco	2011	0.4573	122.0
EGY	eco	2012	0.4536	124.0
EGY	eco	2013	0.4426	125.0
EGY	eco	2014	0.4609	131.0
EGY	eco	2015	0.441	135.0
EGY	eco	2016	0.444	132.0
EGY	eco	2017	0.413	135.0
EGY	eco	2018	0.421	139.0
EGY	eco	2019	0.438	140.0
EGY	eco	2020	0.421	146.0
EGY	edu	2006	0.903	90.0
EGY	edu	2007	0.9091	101.0
EGY	edu	2008	0.9018	105.0
EGY	edu	2009	0.9004	107.0
EGY	edu	2010	0.8987	110.0
EGY	edu	2011	0.9081	110.0
EGY	edu	2012	0.9248	110.0
EGY	edu	2013	0.9199	108.0
EGY	edu	2014	0.9467	109.0
EGY	edu	2015	0.935	115.0
EGY	edu	2016	0.952	112.0
EGY	edu	2017	0.96	104.0
EGY	edu	2018	0.975	99.0
EGY	edu	2019	0.973	102.0
EGY	edu	2020	0.973	105.0
EGY	health	2006	0.9738	66.0
EGY	health	2007	0.9717	83.0
EGY	health	2008	0.9717	84.0
EGY	health	2009	0.9717	89.0
EGY	health	2010	0.9768	52.0
EGY	health	2011	0.9768	52.0
EGY	health	2012	0.9768	54.0
EGY	health	2013	0.9768	51.0
EGY	health	2014	0.9765	57.0
EGY	health	2015	0.971	97.0
EGY	health	2016	0.971	95.0
EGY	health	2017	0.971	99.0
EGY	health	2018	0.974	84.0
EGY	health	2019	0.974	85.0
EGY	health	2020	0.979	102.0
EGY	pol	2006	0.0218	111.0
EGY	pol	2007	0.0218	123.0
EGY	pol	2008	0.0227	124.0
EGY	pol	2009	0.0227	129.0
EGY	pol	2010	0.0311	125.0
EGY	pol	2011	0.0311	126.0
EGY	pol	2012	0.0348	125.0
EGY	pol	2013	0.0348	128.0
EGY	pol	2014	0.0413	134.0
EGY	pol	2015	0.048	136.0
EGY	pol	2016	0.087	115.0
EGY	pol	2017	0.087	119.0
EGY	pol	2018	0.087	122.0
EGY	pol	2019	0.133	103.0
EGY	pol	2020	0.196	78.0
ESP	glob	2006	0.7319	11.0
ESP	glob	2007	0.7444	10.0
ESP	glob	2008	0.7281	17.0
ESP	glob	2009	0.7345	17.0
ESP	glob	2010	0.7554	11.0
ESP	glob	2011	0.758	12.0
ESP	glob	2012	0.7266	26.0
ESP	glob	2013	0.7266	30.0
ESP	glob	2014	0.7325	29.0
ESP	glob	2015	0.742	25.0
ESP	glob	2016	0.738	29.0
ESP	glob	2017	0.746	24.0
ESP	glob	2018	0.746	29.0
ESP	glob	2019	0.795	8.0
ESP	glob	2020	0.788	14.0
ESP	eco	2006	0.5391	85.0
ESP	eco	2007	0.5887	84.0
ESP	eco	2008	0.577	89.0
ESP	eco	2009	0.6017	90.0
ESP	eco	2010	0.624	78.0
ESP	eco	2011	0.6328	74.0
ESP	eco	2012	0.6462	75.0
